Distance (km),Vehicle Type,Fuel Type,Route Type,Time of Day,CO2 Emissions (g/km)
74,Bus,None,Urban,Afternoon,80
48,Car,Gasoline,Urban,Morning,180
71,Car,Gasoline,Urban,Morning,180
89,Car,Gasoline,Urban,Morning,180
76,Car,Gasoline,Urban,Evening,180
7,Bicycle,None,Urban,Afternoon,0
40,Bicycle,None,Urban,Evening,0
51,Bike,None,Rural,Afternoon,5
46,Car,Gasoline,Urban,Morning,180
72,Car,Gasoline,Urban,Morning,180
53,Car,Gasoline,Urban,Morning,180
88,Bus,None,Rural,Afternoon,80
64,Bus,None,Urban,Evening,80
37,Bus,None,Urban,Evening,80
94,Bike,None,Rural,Morning,5
20,Bike,None,Urban,Afternoon,5
73,Bike,None,Rural,Morning,5
21,Bike,None,Rural,Morning,5
22,Car,Gasoline,Urban,Morning,180
58,Car,Gasoline,Urban,Morning,180
41,Bus,None,Rural,Afternoon,80
50,Bike,None,Rural,Morning,5
74,Bike,None,Rural,Evening,5
92,Bike,None,Urban,Evening,5
54,Car,Gasoline,Urban,Morning,180
28,Car,Gasoline,Urban,Evening,180
30,Car,Gasoline,Rural,Evening,180
28,Bus,None,Rural,Afternoon,80
60,Bike,None,Urban,Afternoon,5
16,Bike,None,Rural,Morning,5
77,Car,Gasoline,Urban,Morning,180
63,Bike,None,Rural,Afternoon,5
68,Bus,None,Rural,Afternoon,80
16,Bus,None,Rural,Evening,80
64,Bus,None,Rural,Afternoon,80
85,Bike,None,Rural,Afternoon,5
65,Bike,None,Rural,Evening,5
62,Car,Gasoline,Urban,Morning,180
98,Bus,None,Urban,Evening,80
14,Bicycle,None,Rural,Afternoon,0
24,Car,Gasoline,Urban,Morning,180
61,Car,Gasoline,Urban,Evening,180
93,Bike,None,Rural,Morning,5
26,Bike,None,Rural,Morning,5
69,Bus,None,Urban,Afternoon,80
27,Car,Gasoline,Urban,Morning,180
21,Car,Gasoline,Urban,Morning,180
98,Bus,None,Rural,Evening,80
64,Bike,None,Rural,Morning,5
98,Bus,None,Urban,Morning,80
90,Bike,None,Rural,Morning,5
7,Bicycle,None,Rural,Afternoon,0
12,Bike,None,Urban,Afternoon,5
16,Bike,None,Urban,Evening,5
86,Bike,None,Urban,Afternoon,5
95,Bus,None,Rural,Afternoon,80
82,Bike,None,Rural,Afternoon,5
8,Bicycle,None,Rural,Morning,0
61,Bicycle,None,Rural,Evening,0
15,Bicycle,None,Rural,Afternoon,0
58,Car,Gasoline,Urban,Morning,180
10,Bicycle,None,Rural,Afternoon,0
41,Bike,None,Rural,Afternoon,5
2,Walking,None,Urban,Morning,0
99,Bus,None,Rural,Afternoon,80
14,Bicycle,None,Rural,Morning,0
17,Bicycle,None,Rural,Evening,0
1,Walking,None,Rural,Morning,0
22,Walking,None,Urban,Evening,0
56,Walking,None,Rural,Evening,0
79,Bike,None,Rural,Afternoon,5
99,Bus,None,Rural,Afternoon,80
11,Bike,None,Rural,Evening,5
16,Bike,None,Rural,Evening,5
63,Bike,None,Rural,Morning,5
11,Bike,None,Urban,Evening,5
68,Car,Gasoline,Urban,Morning,180
9,Bike,None,Urban,Afternoon,5
50,Bike,None,Rural,Afternoon,5
66,Bike,None,Rural,Evening,5
32,Bus,None,Urban,Afternoon,80
60,Bike,None,Urban,Afternoon,5
89,Car,Gasoline,Urban,Morning,180
78,Bus,None,Urban,Afternoon,80
47,Bus,None,Rural,Evening,80
5,Bicycle,None,Rural,Morning,0
81,Bicycle,None,Urban,Evening,0
95,Bus,None,Urban,Morning,80
60,Bus,None,Urban,Afternoon,80
25,Bus,None,Urban,Evening,80
66,Bike,None,Rural,Afternoon,5
29,Bike,None,Urban,Afternoon,5
16,Bike,None,Rural,Afternoon,5
73,Bike,None,Urban,Afternoon,5
83,Bike,None,Rural,Evening,5
50,Bike,None,Rural,Evening,5
72,Bus,None,Urban,Afternoon,80
90,Bike,None,Rural,Morning,5
23,Bike,None,Rural,Evening,5
63,Car,Gasoline,Urban,Morning,180
67,Car,Gasoline,Urban,Evening,180
27,Car,Gasoline,Urban,Evening,180
1,Walking,None,Urban,Afternoon,0
35,Bike,None,Rural,Morning,5
59,Bus,None,Rural,Afternoon,80
69,Bus,None,Urban,Evening,80
18,Bus,None,Urban,Evening,80
76,Bus,None,Rural,Afternoon,80
66,Bike,None,Rural,Afternoon,5
64,Bike,None,Rural,Afternoon,5
80,Bike,None,Rural,Evening,5
42,Bus,None,Urban,Afternoon,80
35,Car,Gasoline,Urban,Morning,180
45,Car,Gasoline,Urban,Evening,180
6,Bicycle,None,Rural,Morning,0
30,Car,Gasoline,Urban,Morning,180
4,Bicycle,None,Urban,Afternoon,0
68,Bike,None,Urban,Afternoon,5
81,Bike,None,Urban,Evening,5
23,Bike,None,Urban,Evening,5
22,Bus,None,Urban,Afternoon,80
2,Walking,None,Urban,Evening,0
45,Bike,None,Rural,Morning,5
93,Bike,None,Rural,Morning,5
35,Bike,None,Rural,Afternoon,5
46,Bike,None,Rural,Morning,5
24,Bus,None,Rural,Afternoon,80
22,Bike,None,Urban,Afternoon,5
94,Bus,None,Rural,Afternoon,80
45,Bike,None,Rural,Morning,5
90,Bike,None,Rural,Afternoon,5
78,Bike,None,Rural,Morning,5
78,Bike,None,Rural,Morning,5
100,Bus,None,Rural,Morning,80
35,Bus,None,Rural,Evening,80
100,Bus,None,Rural,Morning,80
27,Car,Gasoline,Urban,Morning,180
85,Bus,None,Rural,Afternoon,80
99,Bus,None,Urban,Morning,80
84,Bike,None,Rural,Afternoon,5
51,Car,Gasoline,Urban,Morning,180
92,Car,Gasoline,Rural,Evening,180
14,Bike,None,Urban,Evening,5
35,Bike,None,Urban,Evening,5
41,Bike,None,Rural,Evening,5
18,Bike,None,Rural,Morning,5
41,Bike,None,Rural,Morning,5
14,Bicycle,None,Rural,Afternoon,0
95,Bus,None,Urban,Evening,80
44,Bus,None,Urban,Evening,80
78,Bike,None,Rural,Morning,5
14,Bike,None,Rural,Afternoon,5
80,Bike,None,Urban,Afternoon,5
84,Bike,None,Urban,Evening,5
100,Bus,None,Urban,Afternoon,80
76,Bike,None,Rural,Afternoon,5
86,Bike,None,Rural,Evening,5
83,Bus,None,Urban,Afternoon,80
6,Bicycle,None,Urban,Morning,0
78,Bike,None,Urban,Afternoon,5
59,Bike,None,Rural,Afternoon,5
89,Bike,None,Rural,Morning,5
24,Bike,None,Rural,Evening,5
47,Car,Gasoline,Urban,Morning,180
33,Car,Gasoline,Urban,Evening,180
16,Car,Gasoline,Urban,Morning,180
8,Bicycle,None,Rural,Evening,0
72,Car,Gasoline,Urban,Morning,180
78,Bus,None,Rural,Afternoon,80
93,Car,Gasoline,Urban,Morning,180
95,Bus,None,Rural,Afternoon,80
72,Bus,None,Rural,Evening,80
62,Car,Gasoline,Urban,Morning,180
41,Car,Gasoline,Rural,Evening,180
49,Car,Gasoline,Urban,Morning,180
54,Car,Gasoline,Urban,Evening,180
72,Bus,None,Rural,Afternoon,80
67,Bus,None,Urban,Afternoon,80
51,Bike,None,Rural,Morning,5
15,Bike,None,Rural,Morning,5
55,Bike,None,Rural,Evening,5
68,Bus,None,Rural,Afternoon,80
84,Bus,None,Urban,Evening,80
36,Bike,None,Rural,Afternoon,5
15,Bike,None,Rural,Evening,5
54,Bike,None,Rural,Morning,5
41,Bike,None,Rural,Evening,5
67,Bike,None,Urban,Afternoon,5
46,Bike,None,Rural,Morning,5
7,Bicycle,None,Urban,Evening,0
54,Bicycle,None,Urban,Evening,0
73,Car,Gasoline,Urban,Morning,180
65,Car,Gasoline,Urban,Morning,180
8,Bike,None,Urban,Afternoon,5
62,Bike,None,Rural,Evening,5
76,Bike,None,Rural,Morning,5
26,Bike,None,Urban,Evening,5
29,Bike,None,Urban,Evening,5
98,Bus,None,Urban,Morning,80
73,Bike,None,Urban,Afternoon,5
89,Car,Gasoline,Urban,Morning,180
21,Bike,None,Urban,Afternoon,5
32,Bike,None,Urban,Afternoon,5
2,Walking,None,Rural,Evening,0
24,Car,Gasoline,Urban,Morning,180
68,Bike,None,Rural,Morning,5
66,Car,Gasoline,Urban,Morning,180
86,Bus,None,Urban,Afternoon,80
42,Car,Gasoline,Urban,Morning,180
54,Bike,None,Rural,Afternoon,5
94,Bus,None,Rural,Afternoon,80
46,Bike,None,Rural,Morning,5
37,Car,Gasoline,Urban,Morning,180
35,Bike,None,Urban,Afternoon,5
52,Bike,None,Urban,Evening,5
63,Bike,None,Rural,Evening,5
6,Bicycle,None,Rural,Afternoon,0
42,Bicycle,None,Rural,Evening,0
44,Car,Gasoline,Urban,Morning,180
85,Car,Gasoline,Urban,Morning,180
56,Car,Gasoline,Urban,Evening,180
34,Car,Gasoline,Urban,Evening,180
92,Car,Gasoline,Rural,Evening,180
92,Car,Gasoline,Urban,Evening,180
4,Bicycle,None,Rural,Afternoon,0
32,Bicycle,None,Rural,Evening,0
24,Bike,None,Rural,Morning,5
61,Bike,None,Rural,Morning,5
57,Bike,None,Urban,Evening,5
99,Bus,None,Urban,Evening,80
14,Bicycle,None,Rural,Morning,0
45,Bicycle,None,Rural,Evening,0
13,Bike,None,Urban,Morning,5
16,Bike,None,Rural,Morning,5
67,Car,Gasoline,Urban,Morning,180
57,Bike,None,Rural,Morning,5
45,Bike,None,Rural,Evening,5
80,Bike,None,Urban,Evening,5
75,Bike,None,Rural,Afternoon,5
74,Bike,None,Urban,Afternoon,5
35,Bike,None,Urban,Evening,5
9,Bike,None,Urban,Evening,5
14,Bike,None,Urban,Morning,5
99,Bus,None,Rural,Afternoon,80
44,Car,Gasoline,Urban,Morning,180
19,Bike,None,Rural,Afternoon,5
83,Bike,None,Rural,Morning,5
95,Bike,None,Rural,Morning,5
37,Bike,None,Rural,Evening,5
19,Bike,None,Rural,Evening,5
4,Bicycle,None,Urban,Evening,0
19,Bicycle,None,Rural,Evening,0
80,Bicycle,None,Rural,Evening,0
18,Car,Gasoline,Urban,Morning,180
41,Car,Gasoline,Rural,Evening,180
76,Car,Gasoline,Urban,Morning,180
73,Bus,None,Rural,Afternoon,80
31,Bike,None,Rural,Morning,5
59,Bike,None,Rural,Evening,5
52,Car,Gasoline,Urban,Morning,180
46,Bike,None,Rural,Afternoon,5
60,Bike,None,Rural,Morning,5
91,Bus,None,Rural,Afternoon,80
72,Bus,None,Rural,Afternoon,80
77,Bus,None,Rural,Evening,80
35,Bus,None,Urban,Afternoon,80
48,Bike,None,Urban,Afternoon,5
28,Bike,None,Rural,Evening,5
41,Bike,None,Urban,Evening,5
4,Bicycle,None,Rural,Afternoon,0
71,Bike,None,Rural,Morning,5
6,Bicycle,None,Rural,Morning,0
45,Bike,None,Rural,Afternoon,5
39,Bike,None,Rural,Evening,5
51,Bike,None,Rural,Morning,5
42,Bike,None,Urban,Evening,5
55,Bike,None,Urban,Afternoon,5
72,Bus,None,Urban,Afternoon,80
6,Bicycle,None,Urban,Afternoon,0
7,Bicycle,None,Urban,Afternoon,0
95,Bicycle,None,Rural,Evening,0
58,Bicycle,None,Urban,Evening,0
79,Car,Gasoline,Urban,Morning,180
28,Bike,None,Rural,Morning,5
5,Bicycle,None,Urban,Evening,0
44,Bike,None,Rural,Morning,5
25,Car,Gasoline,Urban,Morning,180
4,Bicycle,None,Urban,Evening,0
88,Bicycle,None,Rural,Evening,0
63,Bicycle,None,Rural,Evening,0
66,Bike,None,Rural,Morning,5
48,Bike,None,Rural,Morning,5
34,Bike,None,Urban,Afternoon,5
14,Bike,None,Urban,Afternoon,5
2,Walking,None,Urban,Afternoon,0
7,Bicycle,None,Urban,Afternoon,0
10,Bike,None,Urban,Morning,5
87,Bike,None,Urban,Afternoon,5
76,Bike,None,Rural,Morning,5
11,Bicycle,None,Rural,Evening,0
36,Bike,None,Rural,Morning,5
20,Bike,None,Rural,Morning,5
39,Bus,None,Urban,Afternoon,80
82,Bus,None,Urban,Evening,80
54,Bus,None,Urban,Afternoon,80
84,Bus,None,Urban,Evening,80
74,Bus,None,Rural,Afternoon,80
58,Bike,None,Urban,Afternoon,5
34,Bike,None,Rural,Morning,5
51,Bike,None,Rural,Evening,5
68,Bike,None,Urban,Evening,5
4,Bicycle,None,Rural,Evening,0
34,Bicycle,None,Rural,Evening,0
75,Bus,None,Urban,Afternoon,80
94,Car,Gasoline,Urban,Morning,180
43,Bike,None,Rural,Afternoon,5
8,Bicycle,None,Rural,Morning,0
45,Bicycle,None,Rural,Evening,0
92,Bike,None,Urban,Afternoon,5
21,Bike,None,Urban,Afternoon,5
85,Bike,None,Urban,Afternoon,5
81,Bike,None,Urban,Evening,5
67,Bus,None,Rural,Afternoon,80
45,Bike,None,Urban,Afternoon,5
18,Bike,None,Urban,Afternoon,5
62,Bike,None,Rural,Morning,5
75,Bike,None,Rural,Morning,5
96,Bus,None,Urban,Evening,80
4,Bicycle,None,Rural,Evening,0
92,Bicycle,None,Urban,Evening,0
69,Bike,None,Rural,Morning,5
16,Bus,None,Rural,Afternoon,80
57,Bike,None,Rural,Morning,5
29,Bike,None,Urban,Evening,5
46,Bike,None,Rural,Morning,5
49,Bus,None,Rural,Afternoon,80
93,Bus,None,Rural,Evening,80
43,Car,Gasoline,Urban,Morning,180
96,Bus,None,Rural,Morning,80
19,Bus,None,Rural,Evening,80
63,Bus,None,Rural,Evening,80
59,Bike,None,Rural,Afternoon,5
78,Car,Gasoline,Urban,Morning,180
27,Car,Gasoline,Urban,Morning,180
19,Car,Gasoline,Urban,Evening,180
50,Car,Gasoline,Rural,Evening,180
93,Car,Gasoline,Urban,Evening,180
96,Bus,None,Urban,Evening,80
68,Bus,None,Urban,Evening,80
26,Bike,None,Rural,Afternoon,5
16,Bike,None,Rural,Afternoon,5
31,Bike,None,Urban,Evening,5
41,Bus,None,Urban,Afternoon,80
17,Bus,None,Rural,Afternoon,80
81,Bike,None,Rural,Morning,5
10,Bicycle,None,Rural,Afternoon,0
5,Bicycle,None,Urban,Morning,0
11,Bike,None,Rural,Morning,5
43,Bike,None,Urban,Evening,5
64,Bike,None,Urban,Evening,5
9,Bike,None,Urban,Morning,5
94,Bike,None,Urban,Afternoon,5
20,Bike,None,Rural,Afternoon,5
8,Bike,None,Urban,Morning,5
63,Bike,None,Rural,Morning,5
63,Bike,None,Urban,Evening,5
76,Bike,None,Rural,Morning,5
50,Bike,None,Rural,Evening,5
78,Bike,None,Urban,Evening,5
7,Bicycle,None,Urban,Afternoon,0
82,Bus,None,Rural,Afternoon,80
86,Car,Gasoline,Urban,Morning,180
76,Car,Gasoline,Urban,Morning,180
87,Car,Gasoline,Urban,Evening,180
86,Car,Gasoline,Urban,Morning,180
16,Car,Gasoline,Urban,Morning,180
39,Bike,None,Urban,Afternoon,5
41,Bike,None,Rural,Evening,5
20,Bike,None,Urban,Afternoon,5
98,Bus,None,Rural,Evening,80
54,Bike,None,Urban,Afternoon,5
94,Bike,None,Rural,Afternoon,5
50,Bike,None,Rural,Morning,5
65,Bike,None,Urban,Afternoon,5
94,Bike,None,Rural,Morning,5
28,Bike,None,Rural,Evening,5
67,Bike,None,Rural,Evening,5
88,Bike,None,Rural,Morning,5
40,Bike,None,Rural,Evening,5
85,Bike,None,Rural,Morning,5
61,Bike,None,Rural,Afternoon,5
9,Bicycle,None,Rural,Afternoon,0
29,Bicycle,None,Rural,Evening,0
21,Bike,None,Urban,Afternoon,5
5,Bicycle,None,Rural,Morning,0
64,Bicycle,None,Urban,Evening,0
69,Bike,None,Rural,Afternoon,5
84,Bus,None,Rural,Afternoon,80
12,Bike,None,Rural,Afternoon,5
87,Bike,None,Rural,Morning,5
11,Bike,None,Urban,Evening,5
96,Bus,None,Urban,Afternoon,80
89,Bus,None,Urban,Afternoon,80
90,Bus,None,Rural,Evening,80
96,Bus,None,Rural,Evening,80
81,Bus,None,Rural,Afternoon,80
9,Bike,None,Urban,Evening,5
11,Bike,None,Urban,Afternoon,5
57,Bike,None,Urban,Evening,5
95,Bus,None,Urban,Morning,80
35,Car,Gasoline,Urban,Morning,180
71,Car,Gasoline,Urban,Morning,180
15,Bicycle,None,Rural,Evening,0
4,Bicycle,None,Urban,Afternoon,0
8,Bike,None,Urban,Afternoon,5
13,Bike,None,Urban,Evening,5
62,Bike,None,Rural,Morning,5
30,Bus,None,Rural,Afternoon,80
21,Bus,None,Urban,Evening,80
54,Bus,None,Rural,Evening,80
94,Bus,None,Urban,Evening,80
47,Bus,None,Rural,Evening,80
72,Car,Gasoline,Urban,Morning,180
16,Car,Gasoline,Rural,Evening,180
61,Car,Gasoline,Urban,Evening,180
83,Car,Gasoline,Urban,Morning,180
68,Bus,None,Urban,Afternoon,80
54,Car,Gasoline,Urban,Morning,180
8,Bike,None,Urban,Morning,5
15,Bike,None,Urban,Afternoon,5
16,Bike,None,Rural,Morning,5
66,Bike,None,Rural,Morning,5
14,Bicycle,None,Rural,Afternoon,0
38,Bus,None,Rural,Afternoon,80
39,Bike,None,Rural,Afternoon,5
87,Bike,None,Rural,Evening,5
19,Bus,None,Urban,Afternoon,80
78,Bike,None,Urban,Afternoon,5
46,Bike,None,Rural,Morning,5
23,Bike,None,Rural,Afternoon,5
8,Bicycle,None,Rural,Afternoon,0
33,Bus,None,Rural,Afternoon,80
21,Bus,None,Rural,Afternoon,80
39,Bike,None,Urban,Afternoon,5
96,Bus,None,Rural,Afternoon,80
9,Bike,None,Urban,Morning,5
8,Bicycle,None,Rural,Morning,0
94,Bicycle,None,Rural,Evening,0
38,Bike,None,Rural,Afternoon,5
59,Bike,None,Urban,Evening,5
64,Bike,None,Urban,Evening,5
72,Bike,None,Urban,Afternoon,5
7,Bicycle,None,Rural,Evening,0
3,Walking,None,Rural,Morning,0
32,Walking,None,Urban,Evening,0
75,Bike,None,Rural,Morning,5
84,Bike,None,Rural,Afternoon,5
53,Bike,None,Rural,Morning,5
49,Bus,None,Rural,Afternoon,80
76,Bus,None,Urban,Evening,80
31,Bus,None,Rural,Evening,80
43,Bike,None,Rural,Afternoon,5
87,Bike,None,Rural,Morning,5
72,Bike,None,Rural,Afternoon,5
46,Bike,None,Rural,Evening,5
94,Bike,None,Rural,Morning,5
52,Bike,None,Rural,Afternoon,5
37,Bike,None,Urban,Evening,5
32,Bike,None,Rural,Evening,5
12,Bike,None,Urban,Evening,5
87,Car,Gasoline,Urban,Morning,180
97,Bus,None,Urban,Morning,80
49,Bus,None,Rural,Evening,80
6,Bicycle,None,Rural,Morning,0
34,Bus,None,Rural,Afternoon,80
28,Bus,None,Urban,Evening,80
85,Bus,None,Urban,Evening,80
20,Car,Gasoline,Urban,Morning,180
90,Bike,None,Urban,Afternoon,5
52,Bike,None,Rural,Evening,5
49,Bike,None,Rural,Afternoon,5
84,Bike,None,Rural,Evening,5
19,Bike,None,Rural,Afternoon,5
21,Bike,None,Rural,Evening,5
92,Bike,None,Rural,Morning,5
95,Bus,None,Urban,Morning,80
9,Bike,None,Urban,Morning,5
73,Bus,None,Urban,Afternoon,80
23,Bike,None,Rural,Afternoon,5
2,Walking,None,Urban,Evening,0
76,Car,Gasoline,Urban,Morning,180
64,Car,Gasoline,Urban,Morning,180
99,Bus,None,Rural,Evening,80
46,Bike,None,Rural,Morning,5
53,Bike,None,Urban,Afternoon,5
17,Bike,None,Rural,Evening,5
69,Bike,None,Urban,Afternoon,5
69,Bike,None,Rural,Afternoon,5
5,Bicycle,None,Urban,Afternoon,0
38,Bike,None,Rural,Morning,5
78,Bus,None,Urban,Afternoon,80
41,Bus,None,Urban,Evening,80
84,Bus,None,Rural,Evening,80
58,Car,Gasoline,Urban,Morning,180
75,Bike,None,Rural,Afternoon,5
29,Bus,None,Urban,Afternoon,80
93,Bus,None,Rural,Evening,80
20,Bus,None,Rural,Evening,80
16,Bus,None,Urban,Evening,80
81,Bus,None,Rural,Evening,80
26,Car,Gasoline,Urban,Morning,180
90,Bus,None,Rural,Afternoon,80
9,Bike,None,Urban,Evening,5
77,Bus,None,Urban,Afternoon,80
2,Walking,None,Urban,Evening,0
53,Bike,None,Rural,Afternoon,5
23,Bus,None,Urban,Afternoon,80
18,Bike,None,Urban,Afternoon,5
59,Bike,None,Urban,Evening,5
8,Bicycle,None,Rural,Evening,0
78,Bicycle,None,Urban,Evening,0
87,Bicycle,None,Urban,Evening,0
7,Bicycle,None,Urban,Evening,0
85,Car,Gasoline,Urban,Morning,180
11,Bicycle,None,Rural,Afternoon,0
38,Bike,None,Rural,Morning,5
23,Bus,None,Urban,Afternoon,80
40,Bus,None,Urban,Evening,80
77,Bus,None,Urban,Evening,80
57,Bike,None,Rural,Morning,5
98,Bus,None,Rural,Evening,80
63,Bike,None,Rural,Morning,5
91,Bike,None,Rural,Afternoon,5
38,Bus,None,Rural,Afternoon,80
2,Walking,None,Urban,Morning,0
2,Walking,None,Rural,Afternoon,0
96,Bus,None,Rural,Evening,80
35,Bus,None,Rural,Evening,80
33,Bus,None,Urban,Evening,80
81,Bus,None,Rural,Afternoon,80
9,Bike,None,Urban,Morning,5
55,Bike,None,Rural,Morning,5
62,Bike,None,Urban,Evening,5
60,Bike,None,Rural,Afternoon,5
42,Bike,None,Rural,Evening,5
19,Bike,None,Urban,Afternoon,5
82,Bike,None,Urban,Afternoon,5
80,Car,Gasoline,Urban,Morning,180
33,Car,Gasoline,Urban,Evening,180
9,Bicycle,None,Rural,Evening,0
98,Bus,None,Rural,Morning,80
23,Bus,None,Rural,Evening,80
8,Bicycle,None,Rural,Evening,0
50,Bicycle,None,Rural,Evening,0
90,Bus,None,Urban,Afternoon,80
62,Bike,None,Urban,Afternoon,5
94,Car,Gasoline,Urban,Morning,180
16,Car,Gasoline,Rural,Evening,180
77,Bus,None,Rural,Afternoon,80
69,Bike,None,Rural,Morning,5
49,Car,Gasoline,Urban,Morning,180
30,Bus,None,Rural,Afternoon,80
41,Bus,None,Urban,Afternoon,80
30,Bike,None,Rural,Morning,5
14,Bicycle,None,Rural,Morning,0
53,Car,Gasoline,Urban,Morning,180
85,Car,Gasoline,Urban,Evening,180
21,Bike,None,Urban,Afternoon,5
21,Bike,None,Rural,Morning,5
32,Bike,None,Rural,Morning,5
78,Bus,None,Rural,Afternoon,80
53,Bike,None,Rural,Morning,5
19,Bike,None,Urban,Evening,5
15,Bike,None,Urban,Morning,5
30,Bike,None,Urban,Evening,5
15,Bike,None,Urban,Morning,5
92,Bike,None,Rural,Evening,5
81,Bike,None,Rural,Morning,5
58,Bus,None,Rural,Afternoon,80
51,Bike,None,Rural,Afternoon,5
54,Bike,None,Rural,Morning,5
25,Bike,None,Rural,Morning,5
96,Bus,None,Urban,Evening,80
61,Bus,None,Rural,Evening,80
20,Bus,None,Rural,Evening,80
68,Bus,None,Rural,Evening,80
100,Bus,None,Rural,Evening,80
96,Bus,None,Rural,Evening,80
57,Bike,None,Rural,Morning,5
5,Bicycle,None,Rural,Afternoon,0
31,Bike,None,Rural,Morning,5
87,Bike,None,Rural,Afternoon,5
46,Bike,None,Urban,Evening,5
73,Bike,None,Rural,Evening,5
63,Car,Gasoline,Urban,Morning,180
52,Bus,None,Urban,Afternoon,80
83,Bike,None,Rural,Morning,5
52,Bike,None,Urban,Afternoon,5
54,Bike,None,Rural,Afternoon,5
14,Bike,None,Urban,Morning,5
73,Car,Gasoline,Urban,Morning,180
63,Bike,None,Rural,Morning,5
86,Bike,None,Rural,Afternoon,5
90,Bus,None,Rural,Afternoon,80
10,Bike,None,Urban,Evening,5
29,Bike,None,Rural,Morning,5
58,Bike,None,Urban,Afternoon,5
51,Bike,None,Rural,Evening,5
93,Bus,None,Rural,Afternoon,80
40,Bike,None,Rural,Morning,5
19,Bike,None,Rural,Morning,5
60,Bike,None,Urban,Evening,5
81,Car,Gasoline,Urban,Morning,180
8,Bicycle,None,Rural,Morning,0
81,Bicycle,None,Rural,Evening,0
10,Bike,None,Urban,Evening,5
25,Bike,None,Rural,Morning,5
50,Bike,None,Urban,Afternoon,5
93,Bike,None,Rural,Evening,5
48,Bike,None,Rural,Evening,5
68,Car,Gasoline,Urban,Morning,180
74,Bus,None,Rural,Afternoon,80
44,Bus,None,Rural,Evening,80
95,Bus,None,Urban,Evening,80
49,Bus,None,Rural,Afternoon,80
2,Walking,None,Urban,Afternoon,0
34,Bike,None,Rural,Morning,5
8,Bicycle,None,Rural,Afternoon,0
50,Bicycle,None,Rural,Evening,0
5,Bicycle,None,Rural,Evening,0
34,Bicycle,None,Rural,Evening,0
30,Bike,None,Urban,Afternoon,5
67,Bike,None,Rural,Morning,5
69,Bus,None,Rural,Afternoon,80
44,Bus,None,Rural,Evening,80
66,Bus,None,Rural,Evening,80
11,Bike,None,Urban,Morning,5
98,Bus,None,Urban,Afternoon,80
92,Bike,None,Rural,Morning,5
9,Bike,None,Urban,Evening,5
7,Bicycle,None,Urban,Afternoon,0
66,Bicycle,None,Rural,Evening,0
14,Bike,None,Rural,Evening,5
100,Bus,None,Urban,Evening,80
90,Bike,None,Rural,Morning,5
91,Bike,None,Rural,Evening,5
64,Car,Gasoline,Urban,Morning,180
51,Bus,None,Rural,Afternoon,80
92,Bike,None,Rural,Morning,5
59,Bike,None,Urban,Afternoon,5
5,Bicycle,None,Urban,Afternoon,0
89,Bus,None,Rural,Afternoon,80
5,Bicycle,None,Rural,Morning,0
97,Bus,None,Urban,Afternoon,80
49,Bus,None,Urban,Evening,80
14,Bike,None,Urban,Morning,5
48,Bike,None,Rural,Morning,5
72,Car,Gasoline,Urban,Morning,180
32,Car,Gasoline,Urban,Morning,180
26,Car,Gasoline,Urban,Evening,180
65,Car,Gasoline,Rural,Evening,180
89,Bus,None,Urban,Afternoon,80
59,Car,Gasoline,Urban,Morning,180
6,Bicycle,None,Rural,Evening,0
88,Bus,None,Rural,Afternoon,80
33,Bike,None,Rural,Afternoon,5
54,Bike,None,Rural,Morning,5
8,Bicycle,None,Rural,Morning,0
19,Bike,None,Urban,Afternoon,5
31,Bus,None,Urban,Afternoon,80
42,Bus,None,Urban,Evening,80
53,Bus,None,Rural,Evening,80
74,Bike,None,Urban,Afternoon,5
5,Bicycle,None,Rural,Morning,0
61,Bicycle,None,Rural,Evening,0
27,Bicycle,None,Rural,Evening,0
11,Bike,None,Urban,Afternoon,5
54,Bus,None,Urban,Afternoon,80
47,Bike,None,Urban,Afternoon,5
3,Walking,None,Rural,Afternoon,0
35,Car,Gasoline,Urban,Morning,180
84,Bike,None,Rural,Morning,5
57,Bus,None,Rural,Afternoon,80
5,Bicycle,None,Urban,Morning,0
93,Bicycle,None,Urban,Evening,0
94,Bicycle,None,Urban,Evening,0
26,Car,Gasoline,Urban,Morning,180
28,Bike,None,Rural,Afternoon,5
2,Walking,None,Rural,Afternoon,0
12,Bike,None,Rural,Evening,5
5,Bicycle,None,Urban,Evening,0
89,Bicycle,None,Rural,Evening,0
98,Bus,None,Urban,Morning,80
24,Bike,None,Rural,Morning,5
84,Bike,None,Rural,Morning,5
90,Bike,None,Urban,Evening,5
4,Bicycle,None,Rural,Afternoon,0
87,Bike,None,Rural,Morning,5
57,Bike,None,Rural,Evening,5
91,Bike,None,Urban,Evening,5
78,Bike,None,Rural,Evening,5
7,Bicycle,None,Rural,Afternoon,0
55,Car,Gasoline,Urban,Morning,180
19,Car,Gasoline,Rural,Evening,180
50,Bus,None,Rural,Afternoon,80
65,Bike,None,Urban,Afternoon,5
25,Bike,None,Urban,Evening,5
92,Bike,None,Rural,Afternoon,5
44,Car,Gasoline,Urban,Morning,180
86,Bike,None,Rural,Afternoon,5
84,Bus,None,Rural,Afternoon,80
47,Bike,None,Urban,Afternoon,5
63,Bus,None,Rural,Afternoon,80
53,Bus,None,Rural,Evening,80
84,Car,Gasoline,Urban,Morning,180
75,Bus,None,Rural,Afternoon,80
83,Car,Gasoline,Urban,Morning,180
70,Car,Gasoline,Urban,Evening,180
67,Bike,None,Urban,Afternoon,5
